iter,mode,wall_s,forward_s,backward_s,optim_s,cpu_update_total_s,peak_alloc_gib,peak_reserved_gib,cpu_rss_gib,total_prefetch_ms,total_fwd_ms,total_recompute_ms,total_bwd_ms
0,gpu,0.806972,0.342509,0.232307,0.040113,0.0,5.862308,6.199219,1.279430,0.0,337.591296,0.000000,204.466176
1,gpu,0.379747,0.159360,0.177311,0.033953,0.0,5.958020,6.308594,1.282318,0.0,154.173440,0.000000,168.011648
2,gpu,0.373534,0.149993,0.177296,0.034047,0.0,5.958996,6.308594,1.282619,0.0,145.205248,0.000000,169.239550
3,gpu,0.370684,0.144397,0.181927,0.036405,0.0,5.958020,6.308594,1.282913,0.0,140.405760,0.000000,173.912066
4,gpu,0.373528,0.145724,0.187137,0.033258,0.0,5.958020,6.308594,1.283188,0.0,140.936193,0.000000,177.451007
5,gpu,0.371489,0.142619,0.183577,0.034069,0.0,5.958020,6.308594,1.283192,0.0,138.057729,0.000000,174.498815
6,gpu,0.374848,0.150825,0.179550,0.035708,0.0,5.958020,6.308594,1.283211,0.0,144.400383,0.000000,171.346945
7,gpu,0.391257,0.155548,0.187454,0.036051,0.0,5.958020,6.308594,1.283211,0.0,151.947264,0.000000,177.989633
8,gpu,0.369263,0.152103,0.173258,0.033819,0.0,5.958020,6.308594,1.283234,0.0,147.802112,0.000000,165.905407
9,gpu,0.368457,0.148360,0.173226,0.034636,0.0,5.958020,6.308594,1.283241,0.0,144.084993,0.000000,165.008383
