iter,mode,t_ms,cpu_rss_gib,gpu_alloc_gib,gpu_reserved_gib
0,ckpt,0.603,0.634106,3.205323,3.214844
0,ckpt,6.271,0.643559,3.205325,3.214844
0,ckpt,12.014,0.646656,3.205325,3.214844
0,ckpt,17.519,0.649364,3.205325,3.214844
0,ckpt,23.357,0.651787,3.205325,3.214844
0,ckpt,29.244,0.655167,3.205327,3.214844
0,ckpt,34.854,0.663158,3.205328,3.214844
0,ckpt,40.446,0.669632,3.206305,3.214844
0,ckpt,46.532,0.695877,3.206305,3.214844
0,ckpt,52.395,0.713074,3.206305,3.214844
0,ckpt,57.931,0.725235,3.206305,3.214844
0,ckpt,63.512,0.735172,3.206305,3.214844
0,ckpt,69.715,0.743782,3.206305,3.214844
0,ckpt,75.284,0.753448,3.206305,3.214844
0,ckpt,81.400,0.771454,3.206553,3.214844
0,ckpt,87.309,0.786415,3.206614,3.214844
0,ckpt,92.945,0.803032,3.206673,3.214844
0,ckpt,98.765,0.809158,3.206489,3.214844
0,ckpt,104.481,0.811638,3.206489,3.214844
0,ckpt,110.003,0.814278,3.206489,3.214844
0,ckpt,115.676,0.816292,3.206489,3.214844
0,ckpt,121.726,0.829887,3.214424,3.234375
0,ckpt,127.509,0.838989,3.214424,3.234375
0,ckpt,133.258,0.849010,3.214424,3.234375
0,ckpt,138.929,0.866829,3.214424,3.234375
0,ckpt,144.680,0.876781,3.214424,3.234375
0,ckpt,150.559,0.887684,3.214546,3.234375
0,ckpt,156.106,0.902351,3.214790,3.234375
0,ckpt,162.112,0.917606,3.218390,3.234375
0,ckpt,168.037,0.945953,3.218390,3.234375
0,ckpt,174.085,0.959885,3.218390,3.234375
0,ckpt,179.916,0.974586,3.216440,3.234375
0,ckpt,185.332,0.996017,3.216440,3.234375
0,ckpt,190.789,1.004375,3.216440,3.234375
0,ckpt,196.306,1.018879,3.216437,3.236328
0,ckpt,202.124,1.034283,3.216437,3.236328
0,ckpt,208.367,1.054848,3.216437,3.236328
0,ckpt,214.148,1.073414,3.216437,3.236328
0,ckpt,220.186,1.092419,3.216437,3.236328
0,ckpt,225.819,1.097214,3.216437,3.236328
0,ckpt,231.807,1.109959,3.216437,3.236328
0,ckpt,237.823,1.122089,3.216437,3.236328
0,ckpt,243.878,1.140503,3.216437,3.236328
0,ckpt,249.949,1.158852,3.216437,3.236328
0,ckpt,256.110,1.173153,3.216437,3.236328
0,ckpt,262.099,1.185421,3.216437,3.236328
0,ckpt,268.181,1.199806,3.216437,3.236328
0,ckpt,274.186,1.205601,3.217413,3.240234
0,ckpt,279.736,1.222519,3.218878,3.240234
0,ckpt,285.267,1.226700,3.219367,3.242188
0,ckpt,290.850,1.236862,3.216437,3.242188
0,ckpt,297.215,1.237122,3.220343,3.244141
0,ckpt,302.855,1.237286,3.225226,3.244141
0,ckpt,308.660,1.237438,3.219367,3.246094
0,ckpt,314.465,1.237473,3.222296,3.246094
0,ckpt,320.034,1.237499,3.221320,3.248047
0,ckpt,325.765,1.237988,3.225714,3.248047
0,ckpt,331.318,1.238400,3.225226,3.250000
0,ckpt,336.892,1.238579,3.227179,3.251953
0,ckpt,342.425,1.238716,3.232062,3.253906
0,ckpt,348.233,1.238873,3.228156,3.253906
0,ckpt,353.951,1.239185,3.233046,3.255859
0,ckpt,359.726,1.239414,3.234993,3.257812
0,ckpt,365.724,1.239632,3.235968,3.257812
0,ckpt,371.336,1.239662,3.233038,3.259766
0,ckpt,376.723,1.239822,3.236456,3.259766
0,ckpt,382.571,1.239922,3.239874,3.261719
0,ckpt,388.051,1.240116,3.236945,3.263672
0,ckpt,393.507,1.240307,3.240363,3.263672
0,ckpt,398.967,1.240597,3.244269,3.265625
0,ckpt,404.647,1.240711,3.244757,3.267578
0,ckpt,410.559,1.241085,3.246712,3.267578
