iter,mode,wall_s,forward_s,backward_s,optim_s,cpu_update_total_s,peak_alloc_gib,peak_reserved_gib,cpu_rss_gib,total_prefetch_ms,total_fwd_ms,total_recompute_ms,total_bwd_ms
0,slide,3.353015,2.190850,1.107919,0.0,0.435142,0.894083,0.927734,4.923550,425.052353,186.018809,45.316960,181.466017
1,slide,1.557480,0.493933,1.059006,0.0,0.424184,0.894083,0.927734,4.924412,424.768447,42.468352,44.812928,159.683552
2,slide,1.557090,0.500628,1.050836,0.0,0.422724,0.894083,0.927734,4.924767,424.995809,45.559808,46.733120,151.495681
3,slide,1.558207,0.498410,1.055674,0.0,0.422843,0.894083,0.927734,4.924896,424.672957,43.378688,46.957056,153.311265
4,slide,1.573475,0.497303,1.072316,0.0,0.428752,0.894083,0.927734,4.924973,424.597377,42.629120,45.827904,169.347776
5,slide,1.575861,0.493536,1.078678,0.0,0.436830,0.894083,0.927734,4.925014,425.022912,40.369152,46.223680,175.176545
6,slide,1.566051,0.498089,1.064318,0.0,0.435967,0.894083,0.927734,4.925102,425.353824,44.899328,46.884960,160.939935
7,slide,1.589924,0.498333,1.088165,0.0,0.431931,0.894083,0.927734,4.925186,424.714782,45.048832,47.762336,182.952001
8,slide,1.589521,0.492040,1.091727,0.0,0.446064,0.894083,0.927734,4.925236,424.431520,40.871936,49.071488,184.445727
9,slide,1.573945,0.494037,1.076125,0.0,0.432245,0.894083,0.927734,4.925278,424.370017,42.509376,46.621216,173.226016
