layer,mean,lo,hi,n
0,4.45982675862069,4.189651171938859,4.7300023453025215,29
1,4.51360551724138,4.240120608974375,4.787090425508384,29
2,4.262234482758621,3.8684452944963734,4.6560236710208684,29
3,4.404741517241379,4.088740373564772,4.7207426609179866,29
4,4.690699034482758,4.323418594819923,5.0579794741455935,29
5,4.3747718620689655,4.030923095496729,4.718620628641202,29
6,4.388742620689656,4.014841286818178,4.762643954561134,29
7,4.410532413793104,4.150427346078978,4.67063748150723,29
8,4.262427586206896,3.968058918309143,4.55679625410465,29
9,4.209187310344828,3.933094067653548,4.485280553036108,29
10,4.3705335172413795,4.170970962308266,4.570096072174493,29
11,4.053026206896552,3.7736058645734984,4.332446549219606,29
12,8.245191793103448,-0.050456207483051685,16.540839793689948,29
13,4.3711150344827585,4.094259099990256,4.647970968975261,29
14,4.147500137931035,3.86301064900677,4.431989626855299,29
15,4.114073379310344,3.7903373241849785,4.43780943443571,29
16,4.47863724137931,4.171608935886613,4.785665546872008,29
17,4.122244413793104,3.7867334269569555,4.457755400629252,29
18,4.616027586206896,4.232852023272877,4.999203149140915,29
19,4.048620137931034,3.747051127368291,4.350189148493778,29
20,4.3073081379310345,4.022693968690152,4.591922307171917,29
21,4.290824827586207,3.970494530939413,4.611155124233002,29
22,4.364302344827586,4.0457391520727155,4.682865537582457,29
23,4.504620137931035,4.143072927547758,4.8661673483143115,29
24,4.333662896551724,4.033583017981676,4.633742775121772,29
25,4.354753103448276,4.0469122544978395,4.662593952398713,29
26,4.3450648275862065,4.099037017318925,4.591092637853488,29
27,4.221110068965517,3.9435869323341657,4.498633205596869,29
