layer,mean,lo,hi,n
0,10.828003310344828,9.836837798329105,11.81916882236055,29
1,9.996441379310344,8.940899454551571,11.051983304069116,29
2,10.181844965517241,9.248473948088467,11.115215982946015,29
3,10.102150620689654,9.053147435632376,11.151153805746933,29
4,10.236230620689655,9.13360378190201,11.3388574594773,29
5,10.049878068965517,9.029804322061734,11.0699518158693,29
6,10.39246896551724,9.22997223029051,11.55496570074397,29
7,10.101405793103448,8.926645449371668,11.276166136835228,29
8,10.164919172413793,9.057766524607556,11.27207182022003,29
9,10.553208275862069,9.493767964843512,11.612648586880626,29
10,9.734787310344828,8.775252656748076,10.69432196394158,29
11,10.142982620689656,9.237642986844197,11.048322254535115,29
12,9.854572137931035,8.85493213146814,10.85421214439393,29
13,9.825296551724138,8.684228921439239,10.966364182009038,29
14,9.504520827586207,8.305175834940771,10.703865820231643,29
15,9.603781517241378,8.34027758800674,10.867285446476016,29
16,9.454813793103447,8.133028665360017,10.776598920846878,29
17,9.264400551724139,8.037335388312892,10.491465715135385,29
18,9.035044413793104,7.9736013882644325,10.096487439321775,29
19,9.376750344827585,8.157388090135171,10.596112599519998,29
20,9.112414896551725,7.988986913279853,10.235842879823597,29
21,8.920931310344827,7.837811959732089,10.004050660957564,29
22,8.792946758620689,7.8027974094963195,9.783096107745058,29
23,8.498402206896552,7.543213412164661,9.453591001628443,29
24,8.412014344827586,7.544936223704074,9.279092465951098,29
25,8.240180965517242,7.52449770882219,8.955864222212295,29
26,8.028386206896553,7.458106343575672,8.598666070217433,29
27,8.10039724137931,7.565372310232792,8.635422172525828,29
