run_tag,step,t_ms,gpu_alloc_gib,gpu_reserved_gib,cpu_rss_gib
20251225_231102_T1M3_headce_full_ckpt0_seq1024_bs2_bf16,0,2.155,3.229020,13.833984,1.427902
20251225_231102_T1M3_headce_full_ckpt0_seq1024_bs2_bf16,0,93.326,8.543778,13.833984,1.427948
20251225_231102_T1M3_headce_full_ckpt0_seq1024_bs2_bf16,0,119.956,9.020922,13.833984,1.427986
20251225_231102_T1M3_headce_full_ckpt0_seq1024_bs2_bf16,0,146.642,9.605676,13.833984,1.428246
20251225_231102_T1M3_headce_full_ckpt0_seq1024_bs2_bf16,0,173.032,9.605676,13.833984,1.428249
20251225_231102_T1M3_headce_full_ckpt0_seq1024_bs2_bf16,0,199.400,9.605676,13.833984,1.428284
20251225_231102_T1M3_headce_full_ckpt0_seq1024_bs2_bf16,0,226.005,9.605676,13.833984,1.428379
20251225_231102_T1M3_headce_full_ckpt0_seq1024_bs2_bf16,0,252.355,9.605676,13.833984,1.428421
20251225_231102_T1M3_headce_full_ckpt0_seq1024_bs2_bf16,0,278.713,9.605676,13.833984,1.428421
20251225_231102_T1M3_headce_full_ckpt0_seq1024_bs2_bf16,0,304.971,9.605676,13.833984,1.428421
20251225_231102_T1M3_headce_full_ckpt0_seq1024_bs2_bf16,0,331.526,10.763895,13.833984,1.428440
20251225_231102_T1M3_headce_full_ckpt0_seq1024_bs2_bf16,0,358.420,10.763895,13.833984,1.428444
20251225_231102_T1M3_headce_full_ckpt0_seq1024_bs2_bf16,0,385.214,9.401924,13.833984,1.428627
20251225_231102_T1M3_headce_full_ckpt0_seq1024_bs2_bf16,0,411.458,8.689435,13.833984,1.428665
20251225_231102_T1M3_headce_full_ckpt0_seq1024_bs2_bf16,0,438.151,8.599641,13.833984,1.428696
20251225_231102_T1M3_headce_full_ckpt0_seq1024_bs2_bf16,0,464.575,8.548490,13.833984,1.428707
20251225_231102_T1M3_headce_full_ckpt0_seq1024_bs2_bf16,0,491.426,8.415366,13.833984,1.428707
20251225_231102_T1M3_headce_full_ckpt0_seq1024_bs2_bf16,0,518.229,8.282241,13.833984,1.428707
20251225_231102_T1M3_headce_full_ckpt0_seq1024_bs2_bf16,0,544.336,8.149117,13.833984,1.428707
20251225_231102_T1M3_headce_full_ckpt0_seq1024_bs2_bf16,0,570.601,8.015993,13.833984,1.428707
20251225_231102_T1M3_headce_full_ckpt0_seq1024_bs2_bf16,0,596.722,7.882868,13.833984,1.428707
20251225_231102_T1M3_headce_full_ckpt0_seq1024_bs2_bf16,0,623.090,7.757572,13.833984,1.428707
20251225_231102_T1M3_headce_full_ckpt0_seq1024_bs2_bf16,0,649.453,7.647873,13.833984,1.428730
20251225_231102_T1M3_headce_full_ckpt0_seq1024_bs2_bf16,0,675.980,7.514749,13.833984,1.428764
20251225_231102_T1M3_headce_full_ckpt0_seq1024_bs2_bf16,0,702.390,7.381625,13.833984,1.428795
20251225_231102_T1M3_headce_full_ckpt0_seq1024_bs2_bf16,0,728.983,7.240688,13.833984,1.428806
20251225_231102_T1M3_headce_full_ckpt0_seq1024_bs2_bf16,0,755.699,7.131183,13.833984,1.428806
20251225_231102_T1M3_headce_full_ckpt0_seq1024_bs2_bf16,0,783.073,7.052564,13.833984,1.428806
20251225_231102_T1M3_headce_full_ckpt0_seq1024_bs2_bf16,0,809.415,6.817873,13.833984,1.428806
20251225_231102_T1M3_headce_full_ckpt0_seq1024_bs2_bf16,0,835.800,6.614433,13.833984,1.428806
20251225_231102_T1M3_headce_full_ckpt0_seq1024_bs2_bf16,0,862.268,6.481186,13.833984,1.428806
20251225_231102_T1M3_headce_full_ckpt0_seq1024_bs2_bf16,0,888.805,6.418500,13.833984,1.428806
20251225_231102_T1M3_headce_full_ckpt0_seq1024_bs2_bf16,0,915.285,6.301005,13.833984,1.428806
