run_tag,step,t_ms,gpu_alloc_gib,gpu_reserved_gib,cpu_rss_gib
20251225_231206_T1M3_headce_chunked_ckpt0_seq1024_bs2_bf16,0,3.297,3.229020,10.703125,1.467411
20251225_231206_T1M3_headce_chunked_ckpt0_seq1024_bs2_bf16,0,53.187,5.531564,10.703125,1.467434
20251225_231206_T1M3_headce_chunked_ckpt0_seq1024_bs2_bf16,0,79.573,7.698823,10.703125,1.467503
20251225_231206_T1M3_headce_chunked_ckpt0_seq1024_bs2_bf16,0,106.031,8.782319,10.703125,1.467518
20251225_231206_T1M3_headce_chunked_ckpt0_seq1024_bs2_bf16,0,132.523,9.474687,10.703125,1.467522
20251225_231206_T1M3_headce_chunked_ckpt0_seq1024_bs2_bf16,0,159.091,9.605676,10.703125,1.467678
20251225_231206_T1M3_headce_chunked_ckpt0_seq1024_bs2_bf16,0,185.314,9.605676,10.703125,1.467712
20251225_231206_T1M3_headce_chunked_ckpt0_seq1024_bs2_bf16,0,211.848,9.605676,10.703125,1.467743
20251225_231206_T1M3_headce_chunked_ckpt0_seq1024_bs2_bf16,0,238.266,9.605676,10.703125,1.467743
20251225_231206_T1M3_headce_chunked_ckpt0_seq1024_bs2_bf16,0,264.489,9.605676,10.703125,1.467743
20251225_231206_T1M3_headce_chunked_ckpt0_seq1024_bs2_bf16,0,290.669,9.605676,10.703125,1.467743
20251225_231206_T1M3_headce_chunked_ckpt0_seq1024_bs2_bf16,0,317.399,9.707256,10.703125,1.467884
20251225_231206_T1M3_headce_chunked_ckpt0_seq1024_bs2_bf16,0,343.895,9.707334,10.703125,1.467922
20251225_231206_T1M3_headce_chunked_ckpt0_seq1024_bs2_bf16,0,370.465,9.707319,10.703125,1.467964
20251225_231206_T1M3_headce_chunked_ckpt0_seq1024_bs2_bf16,0,396.881,9.777485,10.703125,1.468128
20251225_231206_T1M3_headce_chunked_ckpt0_seq1024_bs2_bf16,0,423.796,9.777487,10.703125,1.468128
20251225_231206_T1M3_headce_chunked_ckpt0_seq1024_bs2_bf16,0,450.508,9.777487,10.703125,1.468128
20251225_231206_T1M3_headce_chunked_ckpt0_seq1024_bs2_bf16,0,477.191,9.777487,10.703125,1.468128
20251225_231206_T1M3_headce_chunked_ckpt0_seq1024_bs2_bf16,0,503.787,9.777487,10.703125,1.468128
20251225_231206_T1M3_headce_chunked_ckpt0_seq1024_bs2_bf16,0,530.374,9.268803,10.703125,1.468128
20251225_231206_T1M3_headce_chunked_ckpt0_seq1024_bs2_bf16,0,557.393,8.517240,10.703125,1.468151
20251225_231206_T1M3_headce_chunked_ckpt0_seq1024_bs2_bf16,0,584.037,8.337115,10.703125,1.468185
20251225_231206_T1M3_headce_chunked_ckpt0_seq1024_bs2_bf16,0,610.714,8.235058,10.703125,1.468216
20251225_231206_T1M3_headce_chunked_ckpt0_seq1024_bs2_bf16,0,637.314,8.082524,10.703125,1.468235
20251225_231206_T1M3_headce_chunked_ckpt0_seq1024_bs2_bf16,0,664.261,7.941648,10.703125,1.468235
20251225_231206_T1M3_headce_chunked_ckpt0_seq1024_bs2_bf16,0,690.638,7.816336,10.703125,1.468235
20251225_231206_T1M3_headce_chunked_ckpt0_seq1024_bs2_bf16,0,717.539,7.663620,10.703125,1.468235
20251225_231206_T1M3_headce_chunked_ckpt0_seq1024_bs2_bf16,0,743.881,7.616620,10.703125,1.468235
20251225_231206_T1M3_headce_chunked_ckpt0_seq1024_bs2_bf16,0,770.559,7.413057,10.703125,1.468235
20251225_231206_T1M3_headce_chunked_ckpt0_seq1024_bs2_bf16,0,797.073,7.276026,10.703125,1.468235
20251225_231206_T1M3_headce_chunked_ckpt0_seq1024_bs2_bf16,0,823.739,7.135089,10.703125,1.468235
20251225_231206_T1M3_headce_chunked_ckpt0_seq1024_bs2_bf16,0,850.274,6.982252,10.703125,1.468235
20251225_231206_T1M3_headce_chunked_ckpt0_seq1024_bs2_bf16,0,876.289,6.868841,10.703125,1.468246
20251225_231206_T1M3_headce_chunked_ckpt0_seq1024_bs2_bf16,0,902.884,6.817878,10.703125,1.468285
20251225_231206_T1M3_headce_chunked_ckpt0_seq1024_bs2_bf16,0,929.175,6.684749,10.703125,1.468307
20251225_231206_T1M3_headce_chunked_ckpt0_seq1024_bs2_bf16,0,955.504,6.485093,10.703125,1.468307
20251225_231206_T1M3_headce_chunked_ckpt0_seq1024_bs2_bf16,0,981.973,6.340189,10.703125,1.468307
20251225_231206_T1M3_headce_chunked_ckpt0_seq1024_bs2_bf16,0,1008.415,6.203403,10.703125,1.468307
20251225_231206_T1M3_headce_chunked_ckpt0_seq1024_bs2_bf16,0,1034.575,6.070339,10.703125,1.468307
20251225_231206_T1M3_headce_chunked_ckpt0_seq1024_bs2_bf16,0,1060.875,5.952046,10.703125,1.468307
